refcode,HOMO,LUMO,gap,dipole_moment_Debye,splitting,hirshfeld,N_FOD
HAKPUF,-5.041,-1.8356,3.2054,4.40292,86.19,0.099191,0.605789
HAKQEQ,-5.3955,-2.5877,2.8078,4.75185,-19.81,0.165947,0.673147
HALBEB,-4.7196,-2.4069,2.3127,7.62422,-17.42,0.231506,1.07068
HANJIP,-13.7359,-10.3452,3.3907,11.53366,63.95,0.142108,0.394269
HARLER,-8.2998,-5.7763,2.5235,5.00E-05,-9.87,0.436465,0.471596
HASJEQ,-4.3937,-1.3316,3.0621,10.0909,50.25,-0.049285,0.867395
HATNOG,-9.2733,-4.4561,4.8172,8.06565,137.27,-0.010275,0.267402
HATNUM,-5.9143,-1.003,4.9113,6.23999,151.8,-0.034812,0.247395
HATPAU,-6.0405,-1.5123,4.5282,8.12232,134.95,-0.005616,0.305024
HAVRII,-3.0151,-0.5907,2.4244,1.00E-05,-19.66,0.426015,1.050907
HAWNUQ,-9.2295,-5.3213,3.9082,8.69267,122.36,0.081697,0.392566
HAWSEF,-4.3573,-1.5529,2.8044,1.93249,-17.4,0.263746,0.766903
HAXCOA,-2.3461,0.9604,3.3065,6.10038,93.63,-0.014203,0.58055
HAXXOU,-4.7196,-3.2674,1.4522,15.01151,-16.88,0.314008,1.452596
HAYLOI,-3.9884,-1.6026,2.3858,4.68578,-19.28,0.039559,0.800776
HEBMOQ,-4.4976,-0.9716,3.526,3.13641,69.51,-0.050998,0.673862
HEBPUZ,-4.0022,-0.6953,3.3069,0.41129,45.72,-0.113646,0.793016
HECVER,-4.503,-2.2202,2.2828,1.19183,-45.81,0.179622,1.556221
HEFGEG,-5.1325,-2.9714,2.1611,12.99758,-23.85,0.126224,0.934772
HEHJOW,-2.0134,-0.0811,1.9323,0.00148,22.31,0.003186,1.450256
HEKXIG,1.7916,5.3115,3.5199,1.00E-05,-43.48,0.040969,0.421231
HELJAJ,-10.2012,-6.4933,3.7079,11.85963,83.59,0.041786,0.489365
HEQZEI,-6.5835,-3.9468,2.6367,0.01231,9.45,0.236385,1.835908
HERFIT,-3.7676,-1.6481,2.1195,2.85378,13.98,-0.080038,0.89278
HERGUG,-6.4257,-2.9889,3.4368,6.22225,50.62,0.141954,0.533985
HERHAN,-9.7783,-6.693,3.0853,3.25411,51.36,0.160954,0.474636
HERTII,-11.9952,-8.5914,3.4038,7.44391,42.53,-0.064751,0.472136
HERVOQ,-8.4154,-5.5471,2.8683,5.68093,31.21,-0.128858,0.672336
HESMIB,-9.086,-5.2883,3.7977,13.75182,-42.36,0.315549,0.236992
HESNAX,-4.1211,-1.5007,2.6204,6.01751,37.69,-0.189767,1.095673
HETLEX,-4.4652,-2.136,2.3292,4.64153,26.96,-0.095013,1.044975
HEYKOL,-5.0984,-1.2374,3.861,1.77173,48.78,-0.088101,0.414198
HEYMIH,-12.8957,-9.2455,3.6502,2.34266,91.39,-0.035503,0.521728
HEYNII,-3.9958,-1.0844,2.9114,2.25252,47.43,-0.12706,0.879907
HEYNOO,-4.0805,-1.1031,2.9774,1.53504,45.23,-0.115605,0.961688
HEYPEG,-4.6529,-2.1795,2.4734,8.34837,-29.96,0.065649,1.162626
HIDQUJ,-9.7277,-8.0459,1.6818,2.66416,-62.82,0.212338,1.4268
HIDXUP,-4.9832,-1.7179,3.2653,7.95142,-35.61,0.090686,0.856348
HIFCAD,-6.6763,-4.4744,2.2019,10.90644,89.23,0.032347,1.424585
HIGVAV,-5.7211,-3.3363,2.3848,4.72414,54.3,-0.007518,0.825473
HIHZII,-4.2988,-0.7626,3.5362,6.56698,108.25,-0.145837,0.554303
HIKNAR,-5.3068,-2.195,3.1118,3.98344,89.11,0.006142,0.718913
HIKNEV,-5.2563,-2.2318,3.0245,4.32811,87.43,0.016964,0.690098
HIKNIZ,-5.2451,-2.1521,3.093,2.95249,69.34,-0.011126,0.714146
HIMKOE,-8.1379,-5.5955,2.5424,8.20822,-21.53,0.138991,0.561415
HIMLIZ,-4.6259,-2.4463,2.1796,8.97135,-44.58,0.333266,0.949798
HIMYAD,-5.0605,-2.1935,2.867,6.57175,-23.2,0.202941,0.652763
HINTUU,-4.6191,-1.2145,3.4046,10.82227,113.21,0.022043,0.579514
HINVUY,-7.5428,-4.7778,2.765,3.06405,36.27,-0.185706,1.25061
HIPCIS,-4.8439,-1.4053,3.4386,13.1504,53.24,-0.021581,0.557538
HIPKUO,-4.3733,-1.5841,2.7892,0.08476,-63.48,0.235346,0.938029
HIPLAU,-4.4166,-1.6441,2.7725,7.17341,-52.13,0.202462,0.625039
HIPLEY,-4.9126,-2.0133,2.8993,7.50911,-29.27,0.175013,0.537763
HIPLIC,-3.9884,-1.0948,2.8936,6.58558,-44.27,0.186122,0.626198
HIPLOI,-4.1483,-1.377,2.7713,7.06328,-21.31,0.150375,0.523185
HIQLUR,-4.0057,-1.5331,2.4726,10.27307,22.98,-0.10601,0.796303
HITHOI,-5.1791,-3.211,1.9681,8.74812,-30.2,0.404268,0.837462
HIVDAS,-12.8428,-9.5333,3.3095,1.00E-05,-36.69,0.263627,0.263791
HIXZUJ,-11.1465,-8.427,2.7195,0.54268,-45.54,0.246592,0.801896
HIYRUE,1.1623,3.1835,2.0212,14.83603,88.12,0.074604,1.422645
HIZDID,-4.3638,-1.093,3.2708,4.10938,-58.82,0.309048,0.449958
HIZTUF,-4.6428,-2.1419,2.5009,6.77855,26.15,-0.076956,0.782684
HMSIAF13,-5.6988,-3.8447,1.8541,0.00249,-24.98,0.496082,0.781983
HOCREX,-8.1819,-5.3879,2.794,5.97779,-40.53,0.335459,0.894155
HOGFIV,-4.9393,-2.8229,2.1164,17.75694,-53.82,0.258628,1.146336
HOGHEQ,-4.8856,-2.8462,2.0394,3.2179,56.57,0.21766,1.829606
HOHBUB,-4.8992,-2.6411,2.2581,4.50494,-16.13,0.258574,0.649322
HOHCAI,-4.6346,-1.4301,3.2045,6.54495,-21.48,0.196078,0.441297
HOKXAG,-12.3954,-8.4652,3.9302,0,-41.89,0.13783,0.131305
HOMKUP,-5.0616,-2.4648,2.5968,6.91681,-18.82,0.073458,0.967865
HONGAV,-4.6069,-2.1672,2.4397,7.13971,-41.28,0.155546,1.203457
HONZIT,-4.8925,-2.1942,2.6983,3.41013,-29.02,0.160753,0.836333
HONZOZ,-4.72,-2.1863,2.5337,3.38101,-33.68,0.159492,0.87146
HONZUF,-4.3017,-1.8041,2.4976,1.72843,-24.93,0.181567,0.92514
HOPCEU,-12.8603,-10.0809,2.7794,0,22.95,0.033841,0.577064
HOPYIW,-5.1045,-3.0076,2.0969,7.91476,27.71,0.035145,1.038569
HOSRUD,-5.1359,-2.8991,2.2368,0.00192,-13.25,0.241463,1.200997
HOTRIS,-4.4592,-1.9484,2.5108,3.62627,17.24,-0.056926,1.049689
HOTVIW,-2.6082,0.9873,3.5955,0.11051,-43.77,0.35406,0.435773
HOTXIX,-4.8725,-2.1275,2.745,7.26839,27.63,-0.123225,1.053689
HOXMOX,-1.1681,1.001,2.1691,7.08042,-47.37,0.147805,1.101157
HOYFUW,-1.2775,1.0515,2.329,9.20035,17.81,-0.108095,1.115984
HOYHOS,-5.1221,-3.8028,1.3193,9.68064,-45.06,0.152455,1.403804
HUBLEW,-0.4018,1.5099,1.9117,10.23128,22.79,-0.127222,1.078691
HUBLUM,-2.0217,0.207,2.2287,5.20498,27.06,-0.075099,1.152905
HUBMUN,-1.8853,0.2287,2.114,7.63156,38.73,-0.073304,0.969983
HUDGOC,-10.5734,-7.0362,3.5372,0.60364,-56.78,0.241484,0.461286
HUKJAA,-4.6291,-2.3548,2.2743,2.84497,-14.95,0.08971,1.07117
HULQAI,-0.1499,1.7159,1.8658,12.59546,-18.96,0.435507,1.402241
HUMBEX,-16.9771,-14.6227,2.3544,0.45313,-11.15,0.2104,0.787239
HUMZEW,-4.452,-1.6604,2.7916,16.4246,-64.44,0.207709,0.623191
HUPLIQ,-8.7886,-5.9102,2.8784,6.51384,-30.14,0.17991,0.486207
HUQFAA,-12.7029,-8.4888,4.2141,0.70478,69.98,0.10096,0.314753
HURSAR,-5.1443,-2.176,2.9683,10.07701,-26.96,0.11475,0.567122
HURSIX,-1.4973,1.4605,2.9578,3.97613,-55.06,0.210827,0.863567
HURSOD,-1.1889,2.0281,3.217,5.44536,-62.69,0.254281,0.67025
HUSXUP,1.9152,4.1822,2.267,0.35378,-45.08,0.013747,1.126917
HUTCOR,-5.774,-1.8525,3.9215,6.49118,-64.53,0.322646,0.577195
HUWTIF,-10.4332,-7.2772,3.156,2.17297,44.33,-0.173534,0.92025
HUXWAZ,-4.6261,-2.0675,2.5586,2.68099,42.23,0.045628,0.937644
HUXWED,-4.6365,-2.1719,2.4646,3.20949,46.1,-0.001055,1.009943
HUYDUB,-7.5229,-5.5433,1.9796,9.02799,52.29,0.002687,1.380506
HZHCXC,-5.1709,-2.2747,2.8962,3.00E-05,-8.22,0.187371,0.480317
IBEGIH,-5.8112,-3.49,2.3212,7.56372,-31.31,0.354301,0.644661
IBUQOL,-12.2198,-9.5599,2.6599,9.4069,59.49,0.105733,0.569752
ICASOV,-4.7819,-2.5866,2.1953,6.63896,-27.15,0.310068,1.106878
ICATIS,-3.8207,-2.7118,1.1089,6.80659,-63.19,0.231346,1.287326
IDIKUD,-4.0211,-3.2063,0.8148,28.74972,-49.83,0.187402,0.813914
IDUBEO,-2.2802,1.6607,3.9409,2.92895,108.13,0.003394,0.289449
IDUBOY,-2.3079,1.7057,4.0136,9.2251,102.11,-0.01842,0.424258
IFEYOK,-10.7943,-8.0525,2.7418,2.99515,51.41,-0.011602,1.157143
IFIXON,-5.4925,-2.3454,3.1471,3.66958,-12.63,0.258767,0.558537
IFODIR,-4.4666,-2.0835,2.3831,7.95414,78.31,-0.010124,0.747241
IFOPAU,-0.7436,1.5063,2.2499,4.85773,-45.11,0.13523,1.186154
IFUFIY,-1.1673,2.3314,3.4987,0.34454,-53.77,0.260822,0.374662
IGIMIU,-4.2745,-0.7519,3.5226,4.70224,88.37,-0.012181,0.599847
IGUQUY,-7.4089,-4.7427,2.6662,7.07263,-37.64,0.203349,0.380252
IGUREJ,-8.0945,-5.2344,2.8601,6.91385,-9.73,0.141341,0.589079
IHABID,-5.6762,-1.4687,4.2075,5.42496,104.99,-0.010478,0.412662
IHALUZ,-4.3119,-1.6049,2.707,3.00E-05,-33.91,0.063078,0.389372
IHETOG,-5.3141,-2.6064,2.7077,2.75681,-36.15,0.232157,0.679515
IHEVUM,-4.8851,-1.8745,3.0106,0.17743,-64.37,0.262335,0.755492
IHIGEN,-4.6593,-1.635,3.0243,8.03001,109.22,0.08049,0.612852
IHUDUL,-3.739,-0.0471,3.6919,4.57221,53.87,-0.172611,0.462659
IJEZIJ,-8.2112,-4.2596,3.9516,2.6805,73.41,-0.046385,0.741863
IJIGUD,-4.7402,-2.1117,2.6285,8.54813,-60.74,0.101349,0.692008
IJOPED,-4.7715,-1.8985,2.873,7.68082,-31.74,0.173205,0.562751
IJOREG,-4.4685,-2.0723,2.3962,2.00E-05,-34.15,0.015152,1.349041
IJUDAV,-4.8217,-3.0092,1.8125,4.86069,5.53,0.031826,1.402044
IKERUO,-5.1252,-1.402,3.7232,10.45957,-35.23,0.25432,0.481026
IKIVOO,-4.1712,-2.4345,1.7367,1.00E-05,-24.27,0.307114,0.749016
IKURAI,-5.1769,-2.1099,3.067,2.16909,42.73,-0.026984,0.551216
ILASOE,-8.726,-4.8685,3.8575,6.33115,84.18,-0.046451,0.493111
ILATEV,-4.5,-1.4142,3.0858,0,-39.75,0.094029,0.736321
ILIJUK,-4.2041,-3.4059,0.7982,33.35168,-20.17,0.086389,0.996199
ILODOD,-8.6963,-6.1246,2.5717,6.64823,-19.38,0.150576,0.423627
ILOLOM,-4.2774,-1.4009,2.8765,6.38105,-52.09,0.260291,0.650711
ILONUV,2.1143,4.8212,2.7069,1.10441,-31.22,0.353701,0.653843
ILUFUQ,-0.0088,2.3899,2.3987,5.06257,-16.34,0.21318,0.695298
ILURIR,6.3081,8.2385,1.9304,15.52863,89.69,-0.08051,0.720312
IMACEG,-4.4315,-2.1657,2.2658,7.62729,-33.75,0.121172,1.69938
IMETNI01,-8.3959,-6.4013,1.9946,11.30617,-13.07,0.142181,0.718531
IMUCAX,-9.7973,-6.9057,2.8916,3.37394,67.77,-0.046642,0.853599
IMUDOK,-4.4443,-2.2296,2.2147,1.23992,-7.12,0.143131,1.274916
INAZED,-4.5356,-1.7889,2.7467,3.17668,-18.33,0.207518,0.902185
INEDEM,-4.8908,-2.179,2.7118,7.46547,-56.72,0.214396,0.846271
INIFOB,-4.6295,-1.9973,2.6322,3.18358,-17.19,0.351854,0.75277
INIHAP,-4.084,-1.6954,2.3886,2.51045,-52.76,0.254598,0.695123
INILOI,-5.1832,-2.6307,2.5525,1.2016,-28.56,0.032323,0.881742
INUVUJ,-4.899,-2.6907,2.2083,6.46786,-42.75,0.259052,1.113723
INUVUL,-8.7532,-6.1521,2.6011,3.58135,64.14,0.019402,1.008865
INUXEV,-4.1478,-1.5825,2.5653,2.94135,-38.77,0.277556,0.770934
IPEPNI,-4.8381,-2.1683,2.6698,1.00E-05,22.13,-0.102187,0.703175
IPIBUE,-5.3008,-2.0818,3.219,1.00E-05,-45.98,0.219856,0.476906
IPIYEM,-3.9157,-1.353,2.5627,3.00112,41.51,-0.132919,1.18805
IPOFUR,-4.4324,-1.4295,3.0029,1.62324,46.25,-0.050876,0.708595
IPOROX,-5.6093,-1.5877,4.0216,5.43586,105.99,0.121521,0.397061
IREWEK,-11.2842,-8.5035,2.7807,7.06299,-32.67,0.079442,0.455365
IROJEF,-3.7497,-1.874,1.8757,11.96806,-58.02,0.204657,1.397704
IRONOS,-7.5173,-5.4082,2.1091,8.34018,-47.75,0.233497,0.916993
ISALNI,-5.1851,-2.5133,2.6718,3.74084,-25.98,0.227619,0.8738
ISIBIW,-5.0185,-3.8343,1.1842,8.80723,-41.25,0.149819,1.551694
ISIKEA,-3.3158,-0.1347,3.1811,0.12289,-51.29,0.276947,0.40961
ISIPUV,-4.8908,-2.8327,2.0581,9.62277,34.58,-0.018639,1.176076
ISIYAK,-4.0592,0.0239,4.0831,4.72184,132.99,-0.190406,0.370822
ISOWOC,-5.6135,-1.6361,3.9774,4.9009,144.14,-0.001128,0.319104
ITARIF,-3.9154,-1.9877,1.9277,3.77929,48.93,-0.048676,1.437001
ITERAB,-4.0479,-2.3639,1.684,19.10795,-24,0.22998,1.675153
ITEREF,-4.6554,-2.2379,2.4175,10.23737,-50.29,0.292333,0.964995
ITERIJ,-4.3591,-2.4529,1.9062,19.97939,-46.22,0.263652,0.962782
ITEXAH,-7.597,-4.8712,2.7258,4.17112,36.96,-0.149026,0.970565
ITEXIO,-1.4358,0.8149,2.2507,5.05778,-54.27,0.110058,1.445851
ITEXOU,-1.7808,0.9144,2.6952,4.53585,78.24,-0.077762,1.084877
ITITOU,-4.607,-2.1894,2.4176,10.85535,29.76,-0.054999,0.986658
ITOQIS,-5.0376,-2.5543,2.4833,1.00E-05,-13.21,0.187259,0.257891
IVEQEF,-4.1602,-1.5459,2.6143,0,-26.89,0.215387,0.722064
IVILUV,-4.9292,-1.8607,3.0685,6.79609,48.5,-0.031364,0.546005
IVOSAO,-11.3384,-9.0992,2.2392,5.34709,-12.05,0.395988,0.723558
IVOSES,-11.3273,-9.0917,2.2356,5.26415,-12.33,0.394063,0.725917
IVUQOH,-4.1286,-1.5075,2.6211,5.36171,-22.25,0.165875,0.921733
IVUTEY,-5.0679,-3.2538,1.8141,6.07302,-22.35,0.206387,1.41975
IWORIX,-10.2029,-8.026,2.1769,0,-32.97,0.227446,0.561168
IWOWEX,-3.3604,-0.8335,2.5269,25.31657,-54.79,0.22713,0.657816
IXAQII,-4.1034,-1.819,2.2844,6.92694,-42.45,0.26233,1.211031
IXARAB,-3.9328,-1.9589,1.9739,5.53868,-48.28,0.243426,1.272439
IXAROP,-4.3952,-1.8655,2.5297,6.49878,-50.04,0.259923,1.323776
IXASAC,-4.5528,-2.1056,2.4472,7.20639,-62.11,0.289928,0.895874
IXEPAE,-4.6384,-2.0923,2.5461,10.60769,-48.52,0.148588,0.64419
IXEPIM,-4.4802,-2.8841,1.5961,18.73732,-12.2,0.140299,1.557749
IXEQAF,-5.0418,-2.3505,2.6913,10.76735,-9.6,0.084725,0.972328
IZOJEO,-0.4272,2.9476,3.3748,2.98853,-49.81,0.246342,0.457412
JACCUP,-4.1411,-0.4536,3.6875,3.86791,85.92,-0.16458,0.44831
JADGOK,-9.0075,-7.2284,1.7791,1.00E-05,37.21,0.136056,0.873525
JADKII,-4.482,-1.8219,2.6601,2.28823,44.99,-0.023617,0.610265
JAFVOB,-1.1727,2.4355,3.6082,3.46015,-59.43,0.321039,0.180649
JAGGED,-5.6711,-2.2713,3.3998,7.92124,125.14,-0.01147,0.643563
JAHBID,-4.3116,-1.5123,2.7993,0,-37.34,0.066723,0.399568
JAPLUI,-4.5179,-3.3602,1.1577,10.70786,-41.3,0.213427,1.438781
JAPRUN,-5.7729,-3.0719,2.701,0.58455,-24.52,0.108886,0.650558
JAPTAV,-5.7672,-3.2981,2.4691,0.70879,-30.05,0.054983,0.717298
JARKIX,-5.1039,-3.5026,1.6013,0.27504,-18.6,0.042924,1.81723
JASBOV,-4.3799,-1.758,2.6219,2.90525,-29.24,0.135937,1.275706
JASCEL,5.102,8.7609,3.6589,0.37078,-22.22,-9.60E-05,0.605544
JASLEU,-8.8971,-5.3355,3.5616,13.34469,27.78,0.10746,0.485693
JASRIF,-5.5506,-1.1747,4.3759,6.05478,145.61,-0.096871,0.305791
JAVLOK,-4.8409,-3.1685,1.6724,6.67315,-12.69,0.060372,1.356259
JAWSUY,-5.3765,-3.356,2.0205,10.30952,-27.95,0.156054,0.946064
JAXFIX,-5.0188,-1.5601,3.4587,5.15736,44.03,-0.009118,0.80559
JAYNAB,-5.0064,-1.3899,3.6165,2.81325,113.91,-0.187325,0.581954
JAZCAO,-4.9451,-2.3601,2.585,0,-17.08,0.064717,0.875219
JECBEZ,-4.1663,-1.5957,2.5706,4.87425,66.35,-0.092332,0.755892
JEDJAE,12.8197,16.0156,3.1959,0.61581,-56.1,0.24462,0.531707
JEJTUN,-4.1171,-1.5618,2.5553,15.16807,-69.09,0.29574,0.594388
JELSIC,-8.6018,-4.4156,4.1862,6.24711,129.02,0.024056,0.309965
JEPNUO,-4.8808,-2.1906,2.6902,0.66506,-9.71,0.172152,1.063671
JEPPOM,-4.4469,-1.8122,2.6347,8.47976,-19.81,0.101342,1.101767
JEQNOJ,-7.9804,-5.1549,2.8255,16.06199,-39.78,0.327453,0.536846
JEWNEF,-7.9374,-5.608,2.3294,4.13617,14.38,0.029897,0.935407
JEXKED,-3.9213,-1.8782,2.0431,6.43682,-47.96,0.280758,0.78613
JEXKIH,-4.0539,-1.6399,2.414,5.62766,-37.24,0.232363,1.05441
JIHPAR,4.7908,6.9009,2.1101,1.00E-05,108.28,0.041458,1.425923
JIKPAX,-9.1993,-7.1401,2.0592,10.25932,-11.86,0.328792,0.638062
JILVAB,-5.4603,-1.3021,4.1582,4.94622,142.76,0.031947,0.332795
JIPDUI,-4.8766,-1.1949,3.6817,1.09898,-49.62,0.287727,0.30152
JITWOZ,-11.456,-8.9606,2.4954,3.95715,-11.26,0.157228,0.656804
JITWUF,-11.2625,-7.854,3.4085,3.6816,27.88,0.018788,0.582704
JIVFID,-3.9021,-1.4202,2.4819,2.19842,24.33,0.088677,0.586856
JIVQEL,-4.9391,-2.6065,2.3326,2.92768,20.63,-0.115567,1.254712
JIWFUQ,-5.0441,-2.7791,2.265,6.0766,-21.94,0.428731,0.839595
JIWMIL,-5.0091,-2.752,2.2571,5.95915,-23.94,0.440872,0.813465
JIWRIQ,-3.2181,-0.4052,2.8129,0.82656,-32.45,0.158052,1.071677
JIWWUI,-4.7663,-2.0466,2.7197,3.05978,18.62,0.08232,0.743961
JIXLAD,-4.1938,-2.1802,2.0136,8.35512,-49.97,0.273444,1.025798
JIXLEH,-3.9514,-1.0657,2.8857,5.64856,-57.94,0.245121,0.895339
JIYYIA,-4.9265,-2.6707,2.2558,4.76782,-29.4,0.150812,0.751476
JIZNEM,-4.388,-1.8223,2.5657,17.38051,58.82,-0.130266,0.796272
JIZQUG,-4.8385,-0.9295,3.909,6.90822,-64.51,0.312514,0.22222
JOBBAF,-4.3146,-1.2615,3.0531,9.1551,-66.25,0.234423,0.428747
JOBJUI,-4.8509,-0.099,4.7519,14.03647,-76.11,0.24201,0.246312
JODGIT,-6.0706,-2.8703,3.2003,1.00E-05,-10.98,0.182447,0.406804
JODGOZ,-6.1814,-2.5138,3.6676,0,-44.29,0.150117,0.231896
JODNEV,-5.7744,-2.1989,3.5755,3.16518,111.79,0.026958,0.385108
JODWII,-3.3561,-1.4794,1.8767,4.09811,14.17,0.035484,1.017414
JODWUU,-3.9218,-1.3107,2.6111,5.80824,25.93,0.054519,0.593622
JOGYAH,-4.416,-3.1726,1.2434,11.37347,-35.82,0.156816,2.709944
JOJWAG,-4.0609,-0.938,3.1229,4.3762,60.24,-0.078458,0.46112
JOMNAA,-13.1155,-8.9053,4.2102,6.93504,-44.39,0.284735,0.199325
JONMEE,-6.6308,-3.1867,3.4441,0.82876,145.41,-0.018262,0.486386
JORKAC,-9.8775,-6.3338,3.5437,5.55785,73.15,0.092946,0.403803
JOTNIS,-4.0837,-2.057,2.0267,13.82106,-58.39,0.154704,1.284503
JOWGEH,-12.5149,-9.7966,2.7183,0.0008,61.46,0.119715,0.891865
JOXCOQ,-4.3032,-2.6335,1.6697,12.97188,-46.75,0.201744,1.198278
JOXJAH,-11.7761,-7.2847,4.4914,0.00117,-70,0.317303,0.103509
JOYXAW,-11.2379,-7.54,3.6979,1.44258,-37.75,0.224144,0.271255
JUCJID,1.1745,5.3211,4.1466,0.11371,-79.62,0.129783,0.27434
JUDRAD,-5.9484,-4.4914,1.457,10.74055,-18.49,0.412711,1.256636
JUGHAU,1.6514,3.8467,2.1953,0,31.66,-0.218647,1.338041
JUHQIM,-1.379,1.7072,3.0862,2.80614,118.34,0.034572,0.556381
JUHTIP,-4.3907,-2.1222,2.2685,0.99083,26.83,0.101234,1.440286
JULFAX,-6.3022,-2.5027,3.7995,8.61883,119.26,-0.012001,0.342557
JUNGEH,-12.6504,-9.5038,3.1466,0.03052,-8.62,0.203668,0.299453
JUQDAA,-1.683,0.4095,2.0925,9.45833,-51.09,0.086691,1.548525
JURHIN,-1.3207,0.8425,2.1632,0.00771,-25.89,0.146748,0.763174
JUVYOO,-4.1193,-2.6247,1.4946,5.78483,-49.84,0.212289,1.246271
JUWGUD,-4.0219,-1.8261,2.1958,10.10007,-56.97,0.192238,1.060868
JUWHAK,-5.8982,-3.7184,2.1798,11.00787,-42,0.261452,0.916799
KAFLUA,-5.9913,-4.4416,1.5497,2.48351,-31.22,0.372024,0.996477
KAGCIH,-1.9975,-0.2389,1.7586,8.13873,6.54,0.047393,2.088181
KAGHOS,-0.5663,2.7605,3.3268,1.00E-05,-40.07,0.015639,0.565029
KAGJOU,-5.089,-2.2789,2.8101,2.00E-05,-63.6,0.407747,0.557646
KAGLUA,1.9981,5.2516,3.2535,1.00E-05,-16.64,0.104057,0.413186
KAGRES,-1.9482,0.0224,1.9706,5.83989,10.12,0.075819,1.744754
KAGXID,-4.0266,-2.4557,1.5709,6.15658,75.08,-0.079107,1.112237
KAGXUP,-7.7442,-6.3905,1.3537,4.13992,94.15,-0.044761,1.408716
KAHDOP,-5.7156,-2.3025,3.4131,1.00E-05,-14.5,0.167461,0.328828
KAJHUC,-4.6863,-1.6036,3.0827,6.64815,32.23,-0.072161,0.604881
KAJTOE,-6.8691,-3.9736,2.8955,1.97023,-41.04,0.348698,0.454416
KAKVUO,-8.9198,-5.3772,3.5426,8.2088,79.7,-0.113473,0.533132
KANYON,-8.7024,-5.4492,3.2532,5.75212,34.79,0.106353,0.390079
KAPJAO,-22.583,-18.8122,3.7708,0,-24.11,0.687309,0.230904
KAPPEW,-5.3428,-3.3909,1.9519,3.60519,-63.27,0.353078,1.147993
KAWCIU,-4.6217,-3.1392,1.4825,12.19913,-48.47,0.387526,1.294997
KAWFET,-5.4079,-1.2895,4.1184,6.24326,70.22,0.039054,0.315876
KAWKIE,-9.753,-7.3912,2.3618,0.09423,-43.27,0.167552,0.477994
KAXMEB,-4.9362,-3.6652,1.271,0.40576,-55.33,0.436517,1.315564
KAXMIF,-5.7726,-3.6714,2.1012,0.00345,-17.99,0.37661,0.855563
KAXXIR,-4.5398,-1.3337,3.2061,13.40899,-30.68,0.082778,0.265126
KAXYUE,-4.3964,-2.7012,1.6952,4.64921,31.59,0.11818,1.768681
KEBXOG,-5.2112,-2.7451,2.4661,4.66735,-24.64,0.183981,0.854333
KEFLUD,2.3483,4.3429,1.9946,0.7139,-16.2,0.432187,2.325921
KEFQES,-7.6969,-5.3298,2.3671,11.99739,-46.12,0.228184,0.582597
KEFQOC,-7.6011,-5.3368,2.2643,13.76136,-49.99,0.231237,0.662468
KEFYAV,-10.3557,-5.808,4.5477,0.26063,-51.97,0.270736,0.158177
KEGRET,-4.7505,-1.1123,3.6382,0.60242,37.68,-0.010425,0.347812
KEHJAK,-4.1162,-1.3257,2.7905,8.92086,44.42,-0.115749,0.604154
KEHJOY,-4.6501,-1.7318,2.9183,8.04251,74.87,-0.002026,0.86721
KEHKOX,-4.4972,-1.8397,2.6575,6.45474,83.82,0.040467,0.6892
KEHREU,-5.2581,-1.3367,3.9214,4.56884,141.58,0.014296,0.324376
KEHREV,-10.8125,-7.9605,2.852,0.61986,-46.6,0.241809,0.597426
KEJTAV,-1.5882,1.9266,3.5148,0.75129,-59.83,0.251429,0.297859
KELXUU,-4.313,-2.1454,2.1676,8.3545,-54.13,0.09078,1.206106
KEQVAD,-4.5672,-1.7745,2.7927,2.04591,90.62,-0.028647,0.648231
KESFEV,-4.1947,-2.5139,1.6808,11.27033,-63.69,0.216745,1.317981
KETVEL,-8.2552,-6.4193,1.8359,7.50984,-6.01,0.39886,1.041438
KEVHIC,-2.3482,-0.5053,1.8429,0.56924,32.08,-0.005877,1.884267
KEXWIT,-5.1248,-1.924,3.2008,7.01516,-12.7,0.087299,0.494627
KEZRIR,-7.3847,-5.3397,2.045,6.18379,-25,0.182416,0.546261
KIBBED,-8.1465,-5.1527,2.9938,3.36897,40.67,-0.132355,0.486949
KIDMEQ,-5.0197,-1.9553,3.0644,8.48119,-34.95,0.134606,0.717071
KIDRIY,-2.3557,0.2855,2.6412,0.00063,83.97,0.04184,1.246838
KIFMUK,-4.414,-1.9711,2.4429,10.44554,-14.43,0.165004,0.923307
KIJSUR,-4.9944,-1.3404,3.654,8.46076,136.67,-0.047994,0.61991
KIJXAC01,-4.114,-1.4991,2.6149,0,20.71,-0.068726,0.589531
KIKBEM,-5.1405,-2.754,2.3865,1.00E-05,7.25,0.013629,1.304913
KIKNUQ,-4.277,-3.3031,0.9739,8.94795,-42.16,0.165922,1.732074
KILBAJ,-11.7172,-8.9616,2.7556,8.32308,-12.51,0.250084,0.633769
KIPLIH,-5.2237,-2.1009,3.1228,4.90563,108.62,0.017105,0.690244
KIQGOG,-4.7563,-1.7373,3.019,0.53341,39.64,-0.060303,0.494912
KIQMAB,-4.1639,-2.1201,2.0438,4.77034,-50.47,0.184813,1.336372
KIRDOH,-4.8075,-2.1729,2.6346,2.05671,-13.51,0.183626,0.7131
KIRFAV,-4.9561,-2.2884,2.6677,3.57984,-34.87,0.15787,0.611648
KIRKUR,-8.5314,-4.9562,3.5752,7.5859,84.83,0.110724,0.475831
KIRPAE,-11.8267,-8.9952,2.8315,2.0338,-19.22,0.134369,0.528594
