refcode,total_charge,multiplicity,n_atoms,n_elecs,HOMO,LUMO,gap,dipole_moment_Debye,Dispersion_E,Metal_q,Polarizability
NOYBEK,0,1,101,500,-0.18571,-0.07923,0.10648,6.8159,-0.238541,0.47154,654.436315
NUDXUG,0,1,97,428,-0.18625,-0.0835,0.10275,10.3369,-0.196926,0.47667,516.344617
NUDYAN,0,1,97,428,-0.17795,-0.0809,0.09705,12.4886,-0.198653,0.48243,516.340386
NUDYER,0,1,100,436,-0.18428,-0.08447,0.09981,7.1847,-0.19114,0.47547,527.882089
NUHBOH,0,1,60,340,-0.18958,-0.08308,0.1065,5.9468,-0.12024,0.06436,350.907669
NUKXAU,0,1,173,686,-0.18065,-0.10382,0.07683,0.0005,-0.34994,1.26763,1013.292856
NUMKOX,-1,1,79,364,-0.07021,0.00786,0.07807,6.1739,-0.165785,1.03482,524.687602
NUMLAK,-1,1,80,380,-0.06894,0.00524,0.07418,6.5365,-0.17369,1.14777,544.426165
NUMSUL,0,1,83,366,-0.18031,-0.09193,0.08838,0.2511,-0.165724,1.26466,527.654329
NUMTIA,0,1,80,360,-0.15487,-0.08128,0.07359,4.3657,-0.168979,1.19044,513.954809
NUPDUZ,0,1,72,366,-0.16568,-0.07592,0.08976,1.4147,-0.143578,0.53158,459.700432
NUPFAH,0,1,82,406,-0.16732,-0.07487,0.09245,1.6999,-0.15981,0.53296,522.299941
NUPQOG,0,1,71,364,-0.17228,-0.09056,0.08172,7.3014,-0.14603,0.81506,471.661436
NUPROH,0,1,72,334,-0.16351,-0.07546,0.08805,2.1529,-0.14251,0.52839,458.351724
NUPRUN,0,1,82,374,-0.16503,-0.07404,0.09099,2.3569,-0.157612,0.52592,520.94175
NUQQIB,0,1,79,420,-0.19013,-0.11927,0.07086,15.2931,-0.14378,0.65269,470.02119
NUQTAW,0,1,59,342,-0.18294,-0.0703,0.11264,2.3225,-0.139651,0.09842,427.810381
NUQTEA,0,1,59,342,-0.18284,-0.07027,0.11257,2.3004,-0.139649,0.09897,427.813726
NUQTIE,0,1,59,342,-0.18283,-0.07027,0.11256,2.3016,-0.139671,0.09859,427.812072
NUQTOK,0,1,59,342,-0.18261,-0.07024,0.11237,2.298,-0.139714,0.0984,427.808396
NUQTUQ,0,1,59,342,-0.18263,-0.07023,0.1124,2.3037,-0.139709,0.09815,427.807614
NUTHER,0,1,101,452,-0.17618,-0.08899,0.08719,3.3862,-0.232447,1.2702,627.662599
NUTKUI,0,1,58,314,-0.1506,-0.09002,0.06058,9.2638,-0.132202,0.26528,417.50083
NUTWUW,0,1,60,304,-0.15229,-0.09878,0.05351,11.0512,-0.109325,0.18459,362.443075
NUVWOQ,0,1,33,232,-0.16169,-0.10822,0.05347,9.3349,-0.067881,0.19132,258.108297
NUWCUF,1,1,118,504,-0.2636,-0.15389,0.10971,10.7565,-0.260113,0.11657,661.23822
NUXWEK,0,1,63,254,-0.18185,-0.09636,0.08549,0.949,-0.122787,0.68957,352.472142
NUXWOU,0,1,63,256,-0.18333,-0.08838,0.09495,0.9402,-0.123909,1.29079,347.559474
OBEVOH,1,1,79,352,-0.27755,-0.18732,0.09023,2.9117,-0.179264,1.09123,456.220565
OBITIC,1,1,62,306,-0.2764,-0.19387,0.08253,7.9121,-0.133645,0.09849,402.124328
OBOHAP,0,1,123,574,-0.17405,-0.08813,0.08592,9.6734,-0.33067,1.19536,843.973054
OBUNIL,0,1,43,226,-0.2119,-0.13313,0.07877,9.209,-0.080214,0.90443,297.572566
OCADAY,0,1,42,226,-0.196,-0.09903,0.09697,10.3927,-0.08316,0.94322,292.861642
OCAROZ,0,1,44,192,-0.16986,-0.06946,0.1004,5.9226,-0.073338,0.7448,256.561475
OCATOE,0,1,98,482,-0.16625,-0.0772,0.08905,5.7022,-0.215901,0.47532,632.103462
OCINUL,0,1,225,766,-0.17266,-0.08525,0.08741,0.0032,-0.369587,1.26293,1082.259856
OCIRID,0,1,109,380,-0.17594,-0.07889,0.09705,0.1934,-0.196822,0.75948,537.994103
OCOYOV,0,1,76,382,-0.17579,-0.07353,0.10226,0.8932,-0.16692,-0.16715,484.566445
OCUTEN,0,1,44,286,-0.18779,-0.08848,0.09931,9.0867,-0.08773,-0.98385,318.344667
ODALIR,0,1,77,348,-0.18056,-0.094,0.08656,6.6697,-0.134366,0.61566,426.986471
ODAWIZ,0,1,67,292,-0.18228,-0.084,0.09828,1.4946,-0.12502,0.79475,399.892935
ODAWOF,0,1,67,292,-0.18221,-0.08384,0.09837,1.4688,-0.125318,0.79034,399.913935
ODEBII,1,1,64,314,-0.27927,-0.19048,0.08879,5.1404,-0.151166,-0.30541,406.88217
ODIRID,0,1,70,308,-0.16811,-0.09029,0.07782,6.3018,-0.117117,1.16961,401.787015
ODIROJ,0,1,70,308,-0.16777,-0.09039,0.07738,6.3738,-0.117087,1.16914,401.793129
ODIRUP,0,1,67,298,-0.16919,-0.0902,0.07899,4.9693,-0.110455,1.16203,391.773129
ODISAW,0,1,70,308,-0.16814,-0.09033,0.07781,6.2974,-0.11709,1.16943,401.788676
ODOYAK,1,1,96,472,-0.29369,-0.21042,0.08327,8.9632,-0.253772,0.45894,659.745209
ODUGAX,0,1,37,240,-0.23164,-0.10416,0.12748,10.5038,-0.07071,0.45376,235.579054
OEBPNI,0,1,90,336,-0.16462,-0.09201,0.07261,0.9297,-0.167213,0.76695,474.011845
OFEPOH,0,1,69,340,-0.18909,-0.09327,0.09582,11.5275,-0.102076,0.34912,383.741647
OFOREG,0,1,50,262,-0.19011,-0.0725,0.11761,2.2758,-0.085778,0.59892,291.318745
OGABOQ,0,1,86,426,-0.18222,-0.05674,0.12548,10.3508,-0.205038,-0.15638,578.476312
OGAYAY,1,1,74,332,-0.29451,-0.14341,0.1511,5.4093,-0.171178,0.37581,488.807363
OGAYOM,1,1,149,636,-0.2737,-0.12733,0.14637,0.2236,-0.437873,0.12434,954.126838
OGEBEJ,0,1,73,320,-0.15993,-0.08854,0.07139,6.933,-0.152433,1.15541,440.530894
OGEDOT,0,1,109,416,-0.22833,-0.02493,0.2034,0.0046,-0.221613,-0.32386,514.652467
OGEDUZ,0,1,109,366,-0.1982,-0.04191,0.15629,0.0014,-0.216503,-0.16456,505.773591
OGUWOD,0,1,86,376,-0.17486,-0.04979,0.12507,6.8462,-0.185796,1.18044,514.676595
OGUWUJ,0,1,86,384,-0.17611,-0.05535,0.12076,4.5046,-0.193922,1.01828,529.69887
OGUYEV,1,1,110,482,-0.27066,-0.17092,0.09974,2.9067,-0.299955,0.14704,723.820176
OGUYIZ,1,1,107,474,-0.27394,-0.17506,0.09888,2.8154,-0.290599,0.13961,712.392967
OHIBOX,0,1,68,388,-0.19339,-0.1116,0.08179,8.1256,-0.144171,-0.78599,496.197858
OHITOP,0,1,87,456,-0.18408,-0.10665,0.07743,12.7413,-0.168519,-0.82298,568.348047
OHUMUB,0,1,58,350,-0.21329,-0.08507,0.12822,7.623,-0.124549,0.43981,376.203147
OHUNAI,0,1,60,366,-0.20971,-0.08213,0.12758,6.37,-0.12661,0.43731,386.311089
OHUYUL,0,1,55,302,-0.1776,-0.03812,0.13948,4.7863,-0.119224,0.2295,366.16767
OJASUO,0,1,58,298,-0.18847,-0.09084,0.09763,2.9436,-0.115525,0.52568,365.362321
OJATAV,0,1,50,286,-0.19763,-0.10182,0.09581,6.7767,-0.101409,0.53013,343.511127
OJATEZ,0,1,50,254,-0.1955,-0.09982,0.09568,8.1352,-0.0986,0.52926,341.917526
OJEMEW,1,1,55,274,-0.26017,-0.19334,0.06683,9.7509,-0.121891,-0.65257,358.02913
OJERUR,0,1,64,336,-0.15358,-0.07238,0.0812,7.7973,-0.13306,0.18351,436.251745
OJESAY,0,1,75,364,-0.15614,-0.0758,0.08034,8.5477,-0.16527,-0.31063,441.4563
OJOGIE,0,1,99,460,-0.17651,-0.07567,0.10084,7.0381,-0.212527,0.42719,575.151855
OJONIK,1,1,103,410,-0.2848,-0.20712,0.07768,0.6865,-0.249476,-0.6041,604.788329
OJOXUH,0,1,91,386,-0.18719,-0.11022,0.07697,6.5968,-0.185393,1.22849,519.673746
OJURIW,0,1,73,360,-0.1695,-0.07917,0.09033,2.9952,-0.155816,0.45239,450.912063
OJURUI,0,1,79,440,-0.1952,-0.0944,0.1008,8.9221,-0.166431,0.46203,481.982605
OJUSAP,0,1,73,408,-0.18647,-0.09242,0.09405,7.6614,-0.158359,0.45944,453.770322
OJUSIX,0,1,73,408,-0.18304,-0.08908,0.09396,7.5516,-0.158182,0.43867,453.866623
OJUWAR,1,1,63,282,-0.27814,-0.18909,0.08905,2.2916,-0.142904,0.37968,396.000524
OJUWIZ,1,1,75,318,-0.25251,-0.17867,0.07384,1.9744,-0.161999,0.63476,445.524342
OKADUB,0,1,51,284,-0.19513,-0.1234,0.07173,3.6677,-0.093529,0.53653,321.720311
OKEXUZ,0,1,38,226,-0.21403,-0.12544,0.08859,8.5832,-0.080716,0.9098,289.559917
OKIYOY,0,1,82,398,-0.19719,-0.10084,0.09635,11.6324,-0.147678,0.9444,510.171868
OKOQIO,0,1,85,366,-0.1801,-0.08001,0.10009,0.0594,-0.153541,0.66013,452.562662
OKOREL,0,1,85,318,-0.17619,-0.08062,0.09557,0.1555,-0.147417,1.26039,439.945226
OLESUT,0,1,89,454,-0.16959,-0.11294,0.05665,13.2427,-0.169498,0.42001,591.096835
OLUCOP,0,1,100,524,-0.18329,-0.10564,0.07765,19.1606,-0.185728,-0.7837,638.461124
OLUNIT,0,1,33,204,-0.20247,-0.03218,0.17029,9.6282,-0.055564,0.17966,205.66004
OLUNOZ,0,1,38,214,-0.20344,-0.02546,0.17798,9.5885,-0.068261,0.15477,209.364418
OLUNUF,0,1,39,236,-0.2071,-0.06866,0.13844,7.5071,-0.070343,0.18137,252.086028
OLUPAN,0,1,42,244,-0.20471,-0.05402,0.15069,7.8921,-0.075047,0.16451,263.666865
OLUPER,0,1,45,252,-0.20199,-0.03395,0.16804,7.2354,-0.087383,0.159,275.291299
OLUPIV,0,1,35,238,-0.22955,-0.10271,0.12684,9.9467,-0.069192,0.48754,234.861645
OLUPOB,0,1,40,248,-0.23007,-0.10398,0.12609,10.2752,-0.081622,0.43536,238.536007
OLUPUH,0,1,41,270,-0.21908,-0.08793,0.13115,10.593,-0.085824,0.48794,281.319361
OLUQAO,0,1,44,278,-0.22832,-0.09851,0.12981,7.4258,-0.097508,0.44153,292.865547
OLUQES,0,1,47,286,-0.22462,-0.1012,0.12342,7.6216,-0.105834,0.42412,304.481935
OLUXEZ,1,1,116,500,-0.26218,-0.19323,0.06895,1.1504,-0.304149,0.35049,745.649442
OMAWUW,1,1,116,518,-0.28624,-0.21616,0.07008,3.8312,-0.294633,-0.74664,750.37027
OMAZUZ,0,1,36,184,-0.22168,-0.12426,0.09742,9.4123,-0.064177,0.9495,229.66598
OMEFOD,0,1,75,350,-0.1861,-0.10593,0.08017,0.0046,-0.152366,1.25133,427.135546
OMEYUA,0,1,77,436,-0.19526,-0.12744,0.06782,5.6018,-0.18689,0.75671,574.420974
OMIFEX,0,1,66,306,-0.14788,-0.08369,0.06419,7.4586,-0.147881,0.36667,444.196062
OMIFIB,0,1,66,324,-0.151,-0.08701,0.06399,8.9226,-0.152744,0.30859,450.581135
OMODUR,0,1,86,504,-0.17454,-0.06868,0.10586,6.7095,-0.219022,0.42648,581.770616
OMOFAZ,0,1,66,408,-0.17368,-0.07587,0.09781,3.859,-0.149512,0.53785,457.419896
OMUDEH,0,1,73,276,-0.16714,-0.0729,0.09424,0.114,-0.124644,1.11562,380.098937
ONABEM,0,1,78,348,-0.17189,-0.08813,0.08376,10.8818,-0.130843,0.30645,437.678741
ONABIQ,0,1,54,284,-0.17281,-0.08964,0.08317,11.4341,-0.093472,0.30863,344.687343
ONABOW,0,1,54,300,-0.17401,-0.09314,0.08087,13.4154,-0.094874,0.3064,345.120089
ONACIR,0,1,146,644,-0.18782,-0.10759,0.08023,8.4647,-0.305861,-0.78396,876.581158
ONEZOY,0,1,57,336,-0.18461,-0.10226,0.08235,8.7477,-0.120157,-0.78652,420.810692
ONEZUE,0,1,47,312,-0.18753,-0.10556,0.08197,7.3321,-0.104257,-0.78641,370.424205
ONIBAQ,0,1,47,330,-0.18791,-0.10611,0.0818,7.2282,-0.104882,-0.7867,377.033405
ONIBEU,0,1,55,320,-0.17805,-0.0939,0.08415,11.8998,-0.112727,-0.78696,390.908991
ONIYIU,0,1,77,406,-0.19172,-0.05191,0.13981,5.6507,-0.189904,-0.21967,512.364457
OPUHIS,0,1,59,298,-0.16744,-0.07922,0.08822,10.4612,-0.127592,0.62277,350.642886
OQISOX,0,1,61,368,-0.21272,-0.12211,0.09061,0.3505,-0.125155,1.14887,400.80074
OQITAK,0,1,54,332,-0.19269,-0.12316,0.06953,2.9862,-0.105355,1.227,343.459796
OREDEW,0,1,65,376,-0.20067,-0.10879,0.09188,4.1859,-0.144072,0.47264,420.313629
OROJUB,0,1,93,412,-0.17073,-0.08324,0.08749,0.0394,-0.179862,0.7705,575.126818
ORUHIT,1,1,31,150,-0.34717,-0.14715,0.20002,0.0076,-0.041184,0.44025,175.0993
ORUHOZ,1,1,31,214,-0.33849,-0.15974,0.17875,0.0127,-0.054291,0.45718,225.241433
OSALEA,1,1,47,274,-0.31205,-0.2092,0.10285,8.0268,-0.094533,0.63125,314.614172
OSEHIF,0,1,109,478,-0.20637,-0.13367,0.0727,11.2916,-0.271665,0.29731,673.892629
OSIPIR,0,1,62,326,-0.17216,-0.09032,0.08184,3.8415,-0.112384,0.86012,390.412228
OSOHEL,1,1,59,286,-0.29103,-0.14554,0.14549,0.0002,-0.109323,0.42502,354.824648
OSOJEN,0,1,67,358,-0.17799,-0.03284,0.14515,12.4881,-0.1277,0.20036,371.980353
OTAGIA,0,1,129,556,-0.17829,-0.07667,0.10162,1.0862,-0.256156,0.46431,733.39034
OTAQIL,1,1,74,332,-0.29457,-0.14327,0.1513,5.3803,-0.171123,0.37581,488.808534
OTEFEZ,0,1,39,228,-0.21174,-0.12797,0.08377,9.5199,-0.068139,0.8978,254.408022
OTEFID,0,1,33,212,-0.21986,-0.12695,0.09291,9.5429,-0.062319,0.93077,231.10362
OTEFOJ,0,1,28,184,-0.2021,-0.12522,0.07688,11.4195,-0.052815,0.32707,211.503475
OTETEN,0,1,43,274,-0.19773,-0.10934,0.08839,8.4014,-0.085812,-0.65527,324.834996
OTETIR,0,1,45,286,-0.20117,-0.11184,0.08933,9.3824,-0.100985,-0.64851,342.188292
OTETOX,0,1,45,288,-0.21115,-0.11918,0.09197,8.8355,-0.093768,-0.64876,338.176693
OTETUD,0,1,47,300,-0.21009,-0.11756,0.09253,7.686,-0.103817,-0.64981,355.560473
OTEVAL,0,1,48,296,-0.20439,-0.11318,0.09121,9.5371,-0.093328,-0.65536,349.508791
OTEVIT,0,1,49,304,-0.20314,-0.1121,0.09104,8.4985,-0.093809,-0.65672,354.520765
OTEVOZ,0,1,51,316,-0.20696,-0.11441,0.09255,8.8691,-0.110448,-0.64859,371.848806
OTEYUJ,0,1,62,342,-0.17363,-0.07859,0.09504,1.0968,-0.11265,0.59117,396.814563
OTIDUS,0,1,70,338,-0.19567,-0.08387,0.1118,4.1431,-0.130617,0.59129,409.640516
OTIGIJ,0,1,93,580,-0.16707,-0.09331,0.07376,2.4374,-0.22601,0.51478,619.720196
OTIWEU,0,1,100,438,-0.15871,-0.03876,0.11995,12.9743,-0.169954,0.09041,524.025726
OTIWIY,0,1,92,390,-0.14289,-0.03103,0.11186,8.7607,-0.158538,0.08452,490.68462
OTIXUM,0,1,79,320,-0.13621,-0.0918,0.04441,2.3837,-0.162182,0.96312,428.446047
OTIYAT,0,1,91,384,-0.17187,-0.02743,0.14444,0.604,-0.19873,1.37657,487.526818
OTIYIB,0,1,67,302,-0.17547,-0.08901,0.08646,12.8447,-0.136016,0.62232,390.943828
OTULEV,0,1,41,258,-0.18574,-0.07723,0.10851,2.9927,-0.078063,0.57635,289.756573
OTULOF,1,1,44,264,-0.31983,-0.22625,0.09358,6.1461,-0.084508,0.5506,297.917771
OVEPEL,0,1,59,302,-0.17692,-0.10627,0.07065,3.6888,-0.121799,0.23728,406.902333
OVEPIP,0,1,65,306,-0.17411,-0.10417,0.06994,2.7113,-0.133858,0.1413,419.112924
OVEPOV,0,1,69,326,-0.16975,-0.10069,0.06906,3.4128,-0.141777,0.22283,446.987005
OVEPUB,0,1,59,302,-0.17934,-0.10401,0.07533,2.2839,-0.119037,0.23639,407.037398
OVEQAI,1,1,54,298,-0.31547,-0.2117,0.10377,11.0987,-0.110002,-0.64006,362.196065
OVEQEM,1,1,48,282,-0.31897,-0.21343,0.10554,11.5496,-0.104673,-0.64839,338.935297
OVERUD,0,1,37,280,-0.20398,-0.10645,0.09753,8.5625,-0.072005,0.43982,261.011734
OVUFUI,1,1,106,454,-0.27564,-0.1995,0.07614,2.3096,-0.269789,0.03197,624.61135
OVUGET,1,1,88,382,-0.28012,-0.19587,0.08425,2.4101,-0.204423,-0.1296,484.038389
OWACEW,0,1,229,898,-0.16182,-0.07076,0.09106,0.0156,-0.530035,-1.61093,1304.850206
OWACIA,0,1,193,788,-0.16922,-0.07055,0.09867,0.0032,-0.378996,-0.16894,1089.517154
OWAJIG,0,1,73,448,-0.17838,-0.1043,0.07408,16.1873,-0.14823,0.78281,530.092243
OWESAM,0,1,72,436,-0.18814,-0.0841,0.10404,3.0308,-0.183435,0.41205,496.963729
OWODEK,0,1,121,484,-0.19421,-0.10258,0.09163,0.0278,-0.196695,0.67259,630.241141
OWODIO,0,1,167,598,-0.17805,-0.0886,0.08945,0.6797,-0.256166,0.76988,839.735846
OWODOU,0,1,167,616,-0.17989,-0.08866,0.09123,0.1978,-0.261269,0.66996,845.537004
OWODUA,0,1,89,384,-0.18834,-0.09769,0.09065,8.0475,-0.14516,0.72081,502.644998
OWOSOJ,1,1,99,434,-0.24095,-0.20799,0.03296,17.6408,-0.177943,0.59628,560.843125
OXIPER,1,1,99,426,-0.30596,-0.16122,0.14474,0.3684,-0.200227,0.45094,565.526976
OXIPIV,1,1,85,362,-0.26461,-0.16997,0.09464,2.4173,-0.149251,0.49511,463.680372
OXONEV,0,1,90,488,-0.1855,-0.06964,0.11586,5.4379,-0.234918,0.45543,605.462782
OXONIZ,0,1,96,520,-0.1865,-0.07699,0.10951,6.6303,-0.240188,0.44872,633.858604
OYAZEU,0,1,60,334,-0.17496,-0.05922,0.11574,6.4649,-0.132189,0.08381,385.261542
OYINOA,0,1,91,470,-0.14589,-0.09706,0.04883,0.5602,-0.233995,0.70246,616.147202
OYOBUB,0,1,77,414,-0.19014,-0.0971,0.09304,0.0003,-0.161653,1.27256,508.101229
OYOCEM,0,1,77,414,-0.19977,-0.10985,0.08992,0.0032,-0.160716,1.26859,507.770612
OYOKOD,1,1,76,344,-0.28225,-0.15918,0.12307,6.5816,-0.154442,-0.19501,429.692026
OZAFEC,0,1,68,354,-0.19389,-0.07657,0.11732,3.0167,-0.145028,-0.24848,411.33155
OZAHAA,0,1,43,254,-0.19732,-0.0932,0.10412,7.1508,-0.073855,0.58209,271.070632
OZEKAG,0,1,37,228,-0.20761,-0.04283,0.16478,9.9275,-0.063793,0.15766,245.32522
OZEROB,0,1,51,314,-0.18583,-0.10151,0.08432,11.3225,-0.108325,0.23928,363.66571
OZILEP,1,1,79,356,-0.27797,-0.18215,0.09582,3.6399,-0.187114,0.28788,530.041418
PABYUN,0,1,34,206,-0.20342,-0.11576,0.08766,8.6669,-0.066368,0.36556,247.395521
PACFEF,0,1,80,334,-0.18913,-0.0955,0.09363,3.954,-0.15189,1.26565,467.571895
PAFFIN,1,1,94,390,-0.29339,-0.15052,0.14287,0.927,-0.250825,-0.74583,575.014805
PAGMNT,1,1,69,322,-0.3242,-0.16433,0.15987,0.7219,-0.154371,0.43697,464.711085
PAHTAW,0,1,34,248,-0.21783,-0.12194,0.09589,9.3353,-0.060496,0.33259,236.306297
PAHTEA,0,1,32,242,-0.20851,-0.07885,0.12966,9.3686,-0.058799,0.32937,234.455298
PALDEN,0,1,83,390,-0.18191,-0.09374,0.08817,1.3626,-0.184111,0.7594,561.624698
PALFAL,0,1,99,420,-0.18119,-0.09297,0.08822,0.87,-0.20541,0.77802,615.072089
PALZOS,0,1,57,242,-0.16747,-0.07697,0.0905,13.3009,-0.093904,0.68647,326.05907
PALZUY,0,1,50,210,-0.16643,-0.07551,0.09092,12.9991,-0.077891,0.68662,275.011465
PANMEY,0,1,96,424,-0.15629,-0.04481,0.11148,3.4849,-0.23909,-0.84658,610.312856
PANMIC,0,1,98,438,-0.16905,-0.0501,0.11895,6.6273,-0.242975,-0.84199,623.453049
PANVOS,1,1,73,330,-0.29169,-0.18943,0.10226,11.0777,-0.13953,0.49407,416.635275
PANVUY,1,1,79,346,-0.30746,-0.17346,0.134,5.3029,-0.143483,0.43542,440.41641
PAQPUV,0,1,55,238,-0.15043,-0.09866,0.05177,0.004,-0.086225,0.77153,293.050063
PAQQAC,0,1,55,234,-0.18242,-0.10744,0.07498,0.022,-0.082622,0.74377,296.14991
PARYUF,0,1,68,364,-0.20203,-0.07696,0.12507,4.102,-0.130784,0.59078,439.291759
PATQAC,1,1,89,376,-0.30115,-0.2206,0.08055,25.3179,-0.136452,-0.63277,480.301453
PAVKUS,0,1,37,256,-0.18715,-0.10343,0.08372,7.7978,-0.082387,-0.78718,295.655052
PAWYOE,1,1,83,362,-0.3126,-0.15239,0.16021,0.0001,-0.175629,0.4379,505.065932
PAXFIG,1,1,55,324,-0.2866,-0.22086,0.06574,6.2703,-0.129848,0.38349,392.89942
PAXFOM,1,1,67,376,-0.28626,-0.21632,0.06994,4.0993,-0.163415,0.37336,472.455412
PAXGEB,0,1,77,346,-0.20582,-0.13691,0.06891,12.0057,-0.181843,0.27635,455.177007
PAYCUN,0,1,42,282,-0.19104,-0.11874,0.0723,8.6819,-0.092612,-0.79166,331.138843
PAYKEH,0,1,44,328,-0.18782,-0.09127,0.09655,9.175,-0.088763,0.75403,332.283873
PAYSUG,0,1,35,212,-0.20304,-0.05993,0.14311,2.9348,-0.058531,0.90088,223.705537
PAYTAN,0,1,70,376,-0.19859,-0.04847,0.15012,3.8855,-0.166265,0.86913,479.431014
PAYTER,0,1,44,250,-0.18387,-0.0869,0.09697,3.7948,-0.081738,0.88688,285.889436
PAYTIV,0,1,59,276,-0.19375,-0.05818,0.13557,2.8888,-0.096796,0.89419,316.656953
PAYTOB,0,1,65,322,-0.19618,-0.08564,0.11054,2.0246,-0.11713,0.89227,382.226191
PAYTUH,0,1,112,484,-0.20412,-0.07599,0.12813,9.6682,-0.287925,0.47081,674.155382
PAZXAQ,0,1,75,376,-0.16765,-0.07418,0.09347,0.3993,-0.154713,0.47798,461.009778
PAZXEU,0,1,73,360,-0.16939,-0.0785,0.09089,1.1882,-0.148777,0.47815,450.955781
PAZXEV,0,1,38,278,-0.24569,-0.12106,0.12463,10.4451,-0.084428,0.41567,265.435709
PDTPOR,0,1,77,366,-0.18427,-0.09195,0.09232,0.0004,-0.163049,0.63035,515.936054
PEDYUU,0,1,67,316,-0.18369,-0.07777,0.10592,3.8648,-0.14765,1.19072,430.282956
PEFWOP,0,1,45,262,-0.2061,-0.08657,0.11953,7.7752,-0.082692,0.18234,292.027134
PEFWUV,0,1,40,262,-0.20448,-0.08695,0.11753,6.9251,-0.074381,0.18702,288.748243
PEFXEG,0,1,38,230,-0.20147,-0.04603,0.15544,10.4314,-0.062902,0.15482,243.825555
PEGNAS,-1,1,69,330,-0.07254,0.03191,0.10445,11.1408,-0.141273,-0.02995,411.236929
PEGNEW,-1,1,45,266,-0.0716,0.03361,0.10521,8.2301,-0.100362,-0.02998,318.138828
PEGXOP,1,1,80,444,-0.30869,-0.21269,0.096,6.1968,-0.183865,0.6871,490.06046
PEHJAQ,0,1,47,300,-0.21405,-0.07098,0.14307,8.1319,-0.094544,-1.28138,337.798547
PEHJEU,0,1,25,228,-0.21678,-0.07032,0.14646,7.4374,-0.047914,-1.28606,228.981586
PEHKAR,1,1,44,272,-0.32014,-0.21718,0.10296,9.798,-0.089666,-0.81323,326.894985
PEHKIZ,1,1,66,344,-0.31281,-0.20699,0.10582,8.3794,-0.152639,-0.81215,435.683724
PEHKUL,1,1,42,260,-0.32249,-0.22115,0.10134,9.9713,-0.082903,-0.81421,309.528289
PEKSEE,0,1,62,366,-0.18871,-0.09076,0.09795,3.0787,-0.128762,0.23312,433.046114
PEKTEF,0,1,52,292,-0.18759,-0.08271,0.10488,3.3505,-0.106363,0.23302,351.702542
PEKTOP,0,1,62,332,-0.18652,-0.08615,0.10037,3.8731,-0.125525,0.23288,414.293284
PEKZEM,0,1,34,188,-0.21164,-0.09217,0.11947,10.2558,-0.060576,0.9314,233.441529
PELWEL,1,1,96,472,-0.29356,-0.21049,0.08307,8.9481,-0.253426,0.45887,659.748446
PEMHOF,0,1,58,300,-0.17004,-0.06212,0.10792,2.3272,-0.116413,0.47733,359.581944
PEMJIC,0,1,79,400,-0.1635,-0.11147,0.05203,7.3049,-0.152527,0.18939,480.18247
PEMJOI,0,1,57,296,-0.1552,-0.10081,0.05439,11.4038,-0.10541,0.18583,350.892646
PENJIC,1,1,119,470,-0.2905,-0.13893,0.15157,2.7158,-0.269469,0.42874,656.500618
PEPVIR,0,1,193,808,-0.18758,-0.07793,0.10965,0.0137,-0.467425,-0.15952,1164.785608
PEPVOX,0,1,113,490,-0.18411,-0.10597,0.07814,6.4108,-0.241703,-0.82493,663.973716
PERNUY,0,1,133,608,-0.16793,-0.09014,0.07779,9.107,-0.387007,-1.40622,878.469912
PERPAG,0,1,127,592,-0.16761,-0.08782,0.07979,9.0224,-0.357829,-1.40637,855.358892
PERPIO,0,1,72,328,-0.17171,-0.09082,0.08089,11.4875,-0.157933,0.0542,470.030062
PERPOU,0,1,62,344,-0.18389,-0.09673,0.08716,14.7365,-0.124031,0.23177,427.845294
PERYET,0,1,127,582,-0.17379,-0.08663,0.08716,8.7035,-0.365135,-1.41599,838.411585
PERYUJ,0,1,66,302,-0.17699,-0.08597,0.09102,11.4934,-0.143325,0.04875,429.999034
PETGOM,0,1,40,266,-0.16455,-0.04709,0.11746,10.6433,-0.076285,0.50599,271.561069
PETHEB,0,1,87,332,-0.17741,-0.0971,0.08031,4.5055,-0.161969,0.78773,449.650316
PEVHUV,0,1,40,274,-0.19951,-0.08303,0.11648,8.6202,-0.077433,0.40216,273.687063
PICTIH,0,1,43,276,-0.18582,-0.10026,0.08556,11.4685,-0.087826,0.241,301.411601
PIDNIA,0,1,155,600,-0.16691,-0.06846,0.09845,0.2651,-0.267678,-0.20686,813.419607
PIDNOG,0,1,125,520,-0.17847,-0.06713,0.11134,0.0011,-0.223254,-0.18883,697.126109
PIGQIH,0,1,53,270,-0.20809,-0.11604,0.09205,9.1183,-0.117379,0.94509,348.081494
PIGWOT,0,1,38,246,-0.21069,-0.11181,0.09888,4.1485,-0.075406,0.50341,271.537381
PIJBUH,0,1,87,402,-0.17228,-0.12034,0.05194,8.8997,-0.145074,0.42619,528.61008
PIJCAO,0,1,87,402,-0.17143,-0.12033,0.0511,9.1635,-0.142839,0.42602,528.60498
PIJWEK,0,1,131,498,-0.17184,-0.13872,0.03312,2.1493,-0.289508,1.21203,695.788568
PILCOD,0,1,64,296,-0.2047,-0.10709,0.09761,9.8837,-0.126252,0.96762,372.968932
PIMDOH,0,1,71,312,-0.19026,-0.08374,0.10652,3.7441,-0.119245,1.17954,415.495445
PIMTOX,1,1,57,266,-0.28937,-0.16092,0.12845,0.1112,-0.105586,0.45576,356.564454
PIMVAL,0,1,32,240,-0.2193,-0.09675,0.12255,11.2665,-0.067519,0.47006,240.183351
