refcode,HOMO,LUMO,gap,dipole_moment_Debye,Dispersion_E,Metal_q,Polarizability
SAPYUF,-0.13177,-0.08318,0.04859,1.1029,-0.217408,0.48368,506.42759
SAPZAM,-0.12887,-0.08773,0.04114,0.9215,-0.206906,0.47502,493.406714
SAQMAY,-0.20478,-0.17781,0.02697,10.7866,-0.086357,0.87659,298.17407
SATQUB,-0.26915,-0.18599,0.08316,5.9463,-0.107388,0.68506,321.414284
SATRAI,-0.29694,-0.19913,0.09781,6.7581,-0.079485,0.70861,265.874658
SATROW,-0.26779,-0.18429,0.0835,5.8991,-0.105573,0.6816,309.960648
SEFTON,-0.1524,-0.14866,0.00374,0.6678,-0.193823,1.21378,587.648169
SESNAH,-0.12959,-0.08494,0.04465,5.0946,-0.102379,0.67201,281.756313
SESNEM,-0.1727,-0.09311,0.07959,24.1802,-0.096574,0.35562,308.835061
SEVDAY,0.01746,0.06435,0.04689,4.4535,-0.055213,0.52938,182.195855
SEYDAD,-0.16587,-0.08402,0.08185,0.0059,-0.266874,0.29118,723.517753
SEYDUX,-0.16189,-0.0724,0.08949,0.0083,-0.25927,0.2806,708.093248
SEZKOZ,-0.1383,-0.07459,0.06371,0.3628,-0.179105,0.66044,600.633993
SEZKUF,-0.12297,-0.07465,0.04832,2.787,-0.182085,0.62729,603.025444
SICWOR,-0.17506,-0.13147,0.04359,2.3628,-0.133946,-0.10829,468.077283
SINJAA,-0.17206,-0.13343,0.03863,0.0,-0.066618,-0.07215,277.179963
SITNUG,-0.14743,-0.09144,0.05599,0.0033,-0.185297,0.34774,552.437757
SIXQOI,-0.16719,-0.11723,0.04996,3.8653,-0.198461,0.88583,536.390537
SIXRAV,-0.15928,-0.07435,0.08493,5.0553,-0.239751,0.62171,611.456414
SIXREZ,-0.16855,-0.10533,0.06322,1.1755,-0.429536,0.88071,966.145887
SIZVAZ,-0.13302,-0.04706,0.08596,2.1694,-0.126586,0.43602,390.7507
SIZVED,-0.16114,-0.0667,0.09444,7.9509,-0.09626,0.66105,296.352974
SIZVIH,-0.13751,-0.05274,0.08477,1.3021,-0.1197,0.43546,357.668718
SIZVON,-0.13643,-0.04866,0.08777,1.8486,-0.134519,0.51117,390.194452
SOQCAE,-0.16129,-0.12227,0.03902,3.5592,-0.139413,-0.37164,344.677416
SOQLOZ,-0.15276,-0.04367,0.10909,3.375,-0.206498,-0.44169,500.935001
SORZEG,-0.15998,-0.07439,0.08559,7.5816,-0.15144,-0.58213,359.937485
SOSGEN,-0.1408,-0.09091,0.04989,0.0834,-0.114484,0.35184,366.339182
SUBKUX,-0.03721,-0.01436,0.02285,0.0069,-0.11054,0.27025,312.332695
SUHZAX,-0.24982,-0.20916,0.04066,11.7421,-0.190482,0.71174,458.378564
SUMBIN,-0.18364,-0.09593,0.08771,4.0152,-0.146336,0.33572,400.947937
SUNPOI,-0.14463,-0.07271,0.07192,3.7145,-0.188189,0.23943,445.941445
SUPHUH,-0.14617,-0.08963,0.05654,6.6695,-0.125916,0.40875,381.338654
SUVREI,-0.13124,-0.08266,0.04858,3.2725,-0.105789,0.51964,300.527938
SUVROS,-0.17545,-0.11711,0.05834,4.3868,-0.076788,0.58085,237.200078
SUXLON,-0.21758,-0.1278,0.08978,7.1395,-0.052861,0.40809,211.611622
TAFWII,-0.14192,-0.09584,0.04608,6.1375,-0.093983,0.48394,280.484271
TAKXIM,-0.18621,-0.14369,0.04252,0.944,-0.076691,-0.1078,290.52604
TARVAJ,-0.15617,-0.06022,0.09595,0.006,-0.177261,0.75317,415.690027
TATXET,-0.18704,-0.13583,0.05121,4.5365,-0.16006,0.77655,471.024732
TATZIX,-0.12804,-0.09326,0.03478,22.2003,-0.074323,0.60748,230.903598
TAWFED,-0.14562,-0.07434,0.07128,15.4909,-0.115617,0.28346,340.097865
TEBKIW,-0.02288,0.04754,0.07042,6.9436,-0.085707,0.54782,287.30447
TEBKOC,-0.04191,0.03421,0.07612,7.7518,-0.079206,0.41397,254.861366
TEBLAP,-0.04218,0.03551,0.07769,9.3547,-0.090522,0.66379,307.895029
TEBRUP,-0.15688,-0.06032,0.09656,6.0481,-0.093114,0.67167,294.577398
TESJUY,-0.23015,-0.19325,0.0369,4.4857,-0.080171,0.84823,229.555586
TEXWIC,-0.17573,-0.05295,0.12278,5.1548,-0.113979,-0.53257,342.926459
TIJFOK,-0.04264,0.01465,0.05729,1.6604,-0.197873,0.74767,522.81997
TINDUQ,-0.166,-0.14008,0.02592,0.0022,-0.11489,-0.03408,460.901736
TIQQUH,-0.14709,-0.06536,0.08173,17.4939,-0.174432,0.27375,410.185696
TISDOO,-0.17264,-0.14721,0.02543,2.1741,-0.198057,0.50741,591.872767
TIVNUJ,-0.28474,-0.21142,0.07332,6.0432,-0.086158,0.64397,219.435143
TOKYIB,-0.19939,-0.05192,0.14747,3.2494,-0.168413,0.99131,409.366995
TOMHIN,-0.2071,-0.13648,0.07062,6.7188,-0.096285,0.58133,306.194094
TOPKEO,-0.29209,-0.25966,0.03243,1.7219,-0.179487,0.45977,490.764251
TOQPIA,-0.13456,-0.05275,0.08181,2.2758,-0.164787,0.45904,497.479208
TOXDIV,-0.18016,-0.11374,0.06642,7.9674,-0.085581,1.14493,283.870995
TTRPNI,-0.17084,-0.10524,0.0656,0.0007,-0.061992,-0.06044,254.078942
TUBTOZ,-0.13981,-0.06129,0.07852,0.3148,-0.05587,0.67096,200.238274
TUBTUF,-0.1101,-0.06271,0.04739,1.0628,-0.08642,0.63497,267.816606
TUTKIC,-0.14764,-0.06753,0.08011,7.3002,-0.035486,0.37048,136.430519
UBEXOR,-0.19393,-0.14637,0.04756,0.0216,-0.109004,-0.05071,365.459211
UBUBOL,-0.17466,-0.12349,0.05117,0.3197,-0.118897,0.66544,401.91888
UCIBEP,-0.20738,-0.096,0.11138,11.4318,-0.174816,1.65707,515.05353
UCIBIT,-0.20762,-0.09793,0.10969,11.9267,-0.181926,1.65879,532.381807
UCUPOX,-0.17242,-0.11949,0.05293,5.2996,-0.073156,0.47993,227.277347
UCUPUD,-0.17531,-0.12656,0.04875,5.9636,-0.074714,0.46183,240.198428
UCUQAK,-0.16927,-0.12526,0.04401,4.2924,-0.069372,0.36109,222.735887
UCUQUE,-0.17085,-0.15572,0.01513,6.0108,-0.173188,0.69698,437.864642
UDABAC,-0.17752,-0.11545,0.06207,6.6566,-0.128319,0.68004,401.888028
UDOQOT,-0.29382,-0.24128,0.05254,2.038,-0.17768,0.43088,467.389243
UGUBAZ,-0.19021,-0.17021,0.02,0.0228,-0.142355,0.00912,478.012011
UJOVOG,-0.17151,-0.1183,0.05321,8.8707,-0.181257,0.08154,509.842892
UJOVUM,-0.17157,-0.11598,0.05559,8.9737,-0.178607,0.11334,497.987932
UKALOI,-0.07113,-0.02797,0.04316,15.146,-0.096217,0.06139,292.623835
UKASOP,-0.11525,-0.0627,0.05255,3.2402,-0.206788,0.01638,490.011825
UKEDUK,-0.14288,-0.0995,0.04338,0.001,-0.133734,-1.35932,353.486643
ULOVEY,-0.14765,-0.08147,0.06618,6.069,-0.151368,0.48392,370.047807
ULOXUQ,-0.15679,-0.10546,0.05133,7.4037,-0.16081,0.43412,376.24338
UQUFES,-0.13094,-0.05837,0.07257,0.0032,-0.086665,0.78379,304.223857
UVIQEW,-0.27328,-0.21468,0.0586,4.7298,-0.108737,0.85234,282.414537
UVIQIA,-0.27332,-0.21464,0.05868,4.7384,-0.108748,0.8525,282.414126
VABTOH,-0.13869,-0.06977,0.06892,5.4628,-0.160406,0.13992,408.704136
VAJMEA,-0.18991,-0.15723,0.03268,0.8057,-0.134368,0.88477,440.348363
VANCIW,-0.13726,-0.07411,0.06315,0.1439,-0.178747,0.65925,600.641167
VASYOF,-0.14594,-0.08661,0.05933,0.8336,-0.119805,0.33246,358.00787
VASYUL,-0.15011,-0.08882,0.06129,0.8955,-0.123986,0.34589,357.981378
VASZEW,-0.14981,-0.0912,0.05861,0.6026,-0.141306,0.33938,415.039265
VAWYEX,-0.15957,-0.06509,0.09448,3.1473,-0.150492,0.37213,370.588372
VAXVEV,-0.14811,-0.12839,0.01972,1.7446,-0.127197,0.6393,427.351847
VEJXIR,-0.14022,-0.08701,0.05321,4.1424,-0.239606,0.71032,647.104841
VEJXOX,-0.12877,-0.06807,0.0607,2.3249,-0.188284,0.62965,538.472324
VETXUN,-0.29591,-0.24593,0.04998,0.6528,-0.158215,0.43043,433.462203
VEWCIK,-0.14305,-0.07685,0.0662,0.0601,-0.189109,0.81475,520.002111
VILBOK,-0.19382,-0.09104,0.10278,8.8634,-0.060611,1.16757,212.21475
VIWCUB,-0.14054,-0.13656,0.00398,0.459,-0.183326,0.80522,559.175097
VIYHOB,-0.16636,-0.07891,0.08745,4.5568,-0.187972,0.01158,480.863911
VOBZIV,-0.18242,-0.13253,0.04989,6.433,-0.062428,-1.50626,231.858207
VOFKUZ,-0.14413,-0.11904,0.02509,3.3437,-0.165125,0.55723,417.316294
VOFLEK,-0.18628,-0.09547,0.09081,4.7819,-0.169653,0.82467,422.612903
VOGFIG,-0.17502,-0.1032,0.07182,5.5943,-0.056951,0.97926,185.629345
WAHKEX,-0.14982,-0.07489,0.07493,15.1741,-0.109372,0.3561,314.146035
WARDIC,-0.13751,-0.05327,0.08424,13.3497,-0.083529,0.2597,243.952926
WARHIH,-0.14093,-0.08542,0.05551,0.0072,-0.33871,0.93555,751.9458
WARHUT,-0.1574,-0.11592,0.04148,0.1848,-0.335631,0.81996,723.421062
WARJEF,-0.16593,-0.07362,0.09231,0.0045,-0.334785,0.74264,744.380931
WARJIJ,-0.15024,-0.11459,0.03565,0.8575,-0.271961,0.82368,629.799414
WATJEJ,-0.16039,-0.12031,0.04008,14.3487,-0.171822,0.20264,552.086169
WATVUL,-0.09811,-0.06502,0.03309,1.9054,-0.072131,0.56602,224.418206
WAZDIK,-0.17575,-0.14224,0.03351,6.304,-0.106488,0.56635,347.361898
WEHZER,-0.12229,-0.01966,0.10263,5.772,-0.093372,0.39707,238.440029
WEQZIC,-0.19475,-0.14202,0.05273,8.3431,-0.069818,0.6112,237.181384
WEVDEJ,-0.21862,-0.1028,0.11582,13.7742,-0.063984,0.73179,219.818524
WEWQOH,-0.12511,-0.1053,0.01981,0.0108,-0.062043,-0.01238,207.78122
WIDGOG,-0.17367,-0.11448,0.05919,7.6661,-0.132245,0.4469,364.576032
WIDGUM,-0.19627,-0.11236,0.08391,3.9741,-0.120885,0.90941,361.620515
WIDHAT,-0.17647,-0.08887,0.0876,1.604,-0.158718,0.54993,395.35305
WIFZUG,-0.14705,-0.09214,0.05491,0.3834,-0.20132,0.3241,672.653494
WIJJAB,-0.10691,-0.08278,0.02413,3.9273,-0.125217,0.55242,411.565807
WIJLAE,-0.14237,-0.1143,0.02807,0.0513,-0.11041,0.30329,393.100086
WIJLEI,-0.1442,-0.11544,0.02876,0.0414,-0.10996,0.31402,393.007941
WIMKEK,-0.18172,-0.13149,0.05023,5.2568,-0.08651,0.98798,275.164639
WIMQIU,-0.25687,-0.17391,0.08296,0.7415,-0.152529,0.55663,400.524985
WIQGEL,-0.26881,-0.21229,0.05652,7.5074,-0.172802,0.71039,450.09103
WIVDUB,-0.15403,-0.0981,0.05593,5.278,-0.05043,0.78109,177.139288
WIVFAJ,-0.15396,-0.09803,0.05593,5.268,-0.050422,0.78188,177.140032
WIXCIQ,-0.1399,-0.05332,0.08658,3.1907,-0.147934,0.43916,426.605472
WIXCOW,-0.16223,-0.06909,0.09314,3.9858,-0.125679,0.48176,361.158229
WOJVEX,-0.15566,-0.06867,0.08699,3.0763,-0.170959,0.42917,519.540513
WOJVIB,-0.15948,-0.07168,0.0878,3.8293,-0.163639,0.4223,486.497534
WOMJOA,-0.28502,-0.20097,0.08405,8.7458,-0.052834,0.68928,192.194123
WOMJUG,-0.27391,-0.18137,0.09254,6.2067,-0.08212,0.6916,284.693594
WOQFEQ,-0.16515,-0.09647,0.06868,12.115,-0.121196,0.73956,388.473927
WOYCEU,-0.18071,-0.0894,0.09131,0.4509,-0.277161,0.28906,759.385209
WOYCIY,-0.17587,-0.08908,0.08679,0.0119,-0.267901,0.26075,770.651805
WOYCOE,-0.14611,-0.06012,0.08599,0.0074,-0.421306,0.25623,1081.204921
WOYDEV,-0.14859,-0.06193,0.08666,0.0148,-0.413577,0.2655,1081.100759
WOYDOF,-0.17449,-0.08729,0.0872,0.0341,-0.234323,0.28608,624.259343
WOZSAF,-0.13815,-0.13302,0.00513,0.4859,-0.253428,1.13344,708.757859
WOZSEJ,-0.15864,-0.15396,0.00468,17.9455,-0.12548,1.13478,416.147244
WUCLAJ,-0.17205,-0.10127,0.07078,4.8652,-0.142216,0.41447,398.501438
WUCQOC,-0.16953,-0.12613,0.0434,6.6407,-0.166921,0.41887,478.335103
WUPPAZ,-0.14758,-0.09841,0.04917,0.0032,-0.162885,0.35534,501.101613
WUPPED,-0.14763,-0.09834,0.04929,0.0078,-0.162929,0.35661,501.100574
WUSWOX,-0.16296,-0.08041,0.08255,4.4834,-0.103473,0.41598,346.437022
WUXZIA,-0.12736,-0.08532,0.04204,3.1386,-0.132578,0.62419,442.76278
XAGBAI,-0.19908,-0.09598,0.1031,20.8882,-0.135263,0.99646,329.469019
XAGBIQ,-0.29448,-0.14622,0.14826,10.0966,-0.151836,0.4457,353.835194
XAGBOW,-0.16686,-0.01793,0.14893,14.3067,-0.159586,0.58235,362.191795
XARTIT,-0.17684,-0.1243,0.05254,7.6943,-0.246704,0.7983,660.708885
XAYVOJ,-0.15632,-0.07991,0.07641,3.8637,-0.073557,0.35507,205.630977
XAYVUP,-0.14924,-0.07982,0.06942,8.0489,-0.102894,0.40881,237.493995
XECNAU,-0.15956,-0.12835,0.03121,14.8358,-0.168887,0.30214,519.538675
XEJZER,-0.1393,-0.08518,0.05412,2.6464,-0.151741,0.23233,441.727048
XEJZIV,-0.15483,-0.09356,0.06127,0.0258,-0.337573,0.86372,845.856874
XEMFIH,-0.16779,-0.15564,0.01215,2.2534,-0.220699,0.89809,555.624175
XEZMEU,-0.17695,-0.08952,0.08743,2.8667,-0.083655,0.07089,236.834196
XIDSEI,-0.21005,-0.14977,0.06028,2.3189,-0.058416,0.90409,187.803341
XITQOG,-0.16931,-0.11247,0.05684,8.5133,-0.096644,0.65967,295.342365
XITQUM,-0.16903,-0.11236,0.05667,7.9124,-0.124089,0.6423,375.332431
XITRAT,-0.1655,-0.10012,0.06538,6.0229,-0.093335,0.59099,274.712072
XITREX,-0.16551,-0.10077,0.06474,5.292,-0.120819,0.57871,354.704947
XIVKAQ,-0.18539,-0.12091,0.06448,4.3214,-0.137926,0.80965,396.041312
XIVXAD,-0.28942,-0.23036,0.05906,8.2253,-0.11339,0.61358,334.672007
XIVYAE,-0.28942,-0.23038,0.05904,8.2252,-0.113376,0.61379,334.672128
XIVYUY,-0.28942,-0.23038,0.05904,8.2355,-0.113375,0.61391,334.672261
XIVZAF,-0.2894,-0.2304,0.059,8.2053,-0.113359,0.614,334.672515
XIWYUX,-0.33407,-0.20581,0.12826,4.7497,-0.080044,0.28063,201.548522
XOCXOE,-0.27032,-0.21236,0.05796,2.1016,-0.11949,0.60129,329.782909
XOCYAR,-0.27029,-0.21239,0.0579,2.1026,-0.119484,0.60165,329.784016
XOCYEV,-0.27042,-0.2125,0.05792,2.0932,-0.119481,0.60377,329.782465
XOCYIZ,-0.2686,-0.21106,0.05754,1.911,-0.12775,0.60411,352.961075
XOCYOF,-0.26858,-0.21107,0.05751,1.9139,-0.127769,0.60472,352.961702
XOCYUL,-0.26857,-0.21101,0.05756,1.9207,-0.127665,0.60225,352.960737
XOCZAS,-0.26843,-0.21089,0.05754,1.9238,-0.127676,0.60197,352.962029
XOCZEW,-0.26862,-0.21103,0.05759,1.912,-0.12774,0.60472,352.960849
XOCZIA,-0.26859,-0.21121,0.05738,1.9108,-0.127865,0.6091,352.960523
XOJVUO,-0.16319,-0.10056,0.06263,6.8356,-0.084797,0.77091,263.683894
XOMZAB,-0.13625,-0.0899,0.04635,0.6255,-0.143817,-0.06758,383.323373
XONDIQ,-0.28886,-0.22961,0.05925,6.2461,-0.112138,0.61161,321.399453
XONDOW,-0.28942,-0.23038,0.05904,8.2329,-0.113375,0.61405,334.672347
XOPGAM,-0.13504,-0.06871,0.06633,3.7112,-0.155031,0.65662,449.764893
XOSPEA,-0.18147,-0.15884,0.02263,0.4884,-0.072074,0.79748,238.166514
XOWNEC,-0.15396,-0.05761,0.09635,13.5953,-0.07882,0.26694,208.60424
XOZKEC,-0.28635,-0.23449,0.05186,4.2401,-0.116737,0.27696,345.86542
XOZZAO,-0.16057,-0.10075,0.05982,13.0578,-0.128259,0.25715,406.599221
XUKPEZ,-0.14747,-0.09101,0.05646,3.8225,-0.224666,0.32576,683.961242
XUNFUH,-0.06273,-0.04825,0.01448,15.7347,-0.06262,-0.17357,209.683825
XUYCOK,-0.16603,-0.09743,0.0686,6.5157,-0.134215,-0.37437,470.924619
XUYKUX,-0.22314,-0.17106,0.05208,0.0007,-0.077385,-0.10797,294.406738
YAJLAW,-0.14801,-0.0351,0.11291,4.9993,-0.102744,-0.18382,290.25239
YAJLEA,-0.14456,-0.03149,0.11307,5.1527,-0.099745,-0.29147,282.590969
YANLEG,-0.29536,-0.23782,0.05754,4.4665,-0.125701,0.61913,372.805545
YANLIK,-0.2954,-0.23791,0.05749,4.4426,-0.125695,0.61881,372.804931
YANLUW,-0.29525,-0.23796,0.05729,4.3709,-0.125614,0.61795,372.804713
YANWIT,-0.15982,-0.06985,0.08997,0.0,-0.066149,0.66203,259.82161
YAPGUS,-0.16501,-0.0722,0.09281,0.9364,-0.151982,0.37121,480.031517
YAPKAC,-0.27666,-0.18803,0.08863,4.5993,-0.108436,0.10583,336.148647
YAWSIZ,-0.14568,-0.08755,0.05813,2.4341,-0.170768,0.6382,512.702841
YECRII,-0.1663,-0.11426,0.05204,3.8174,-0.217166,0.86561,487.644312
YEDVAG,-0.2894,-0.23038,0.05902,8.2149,-0.113377,0.61316,334.671274
YEDVEK,-0.28942,-0.23041,0.05901,8.2298,-0.113352,0.61461,334.671567
YEDVIO,-0.28884,-0.22962,0.05922,6.2389,-0.112119,0.61152,321.400017
YEDVOU,-0.28879,-0.22964,0.05915,6.2196,-0.112086,0.61132,321.400153
YEDVUA,-0.29395,-0.23652,0.05743,3.4793,-0.121799,0.61114,346.323072
YEMNAI,-0.18625,-0.10493,0.08132,8.9554,-0.136473,0.54837,383.609414
YEQNUD,-0.19466,-0.1392,0.05546,0.0012,-0.046638,-0.11166,197.763662
YIDTOW,-0.14232,-0.08596,0.05636,0.0247,-0.186481,0.34159,559.751673
YIHJIL,-0.18647,-0.10867,0.0778,5.4888,-0.055481,0.80599,197.994273
YISDUZ,-0.16939,-0.13125,0.03814,0.0009,-0.113364,-0.07154,416.832329
YISFAH,-0.16583,-0.1274,0.03843,0.0093,-0.137444,-0.07334,510.080536
YIVCAH,-0.1957,-0.14254,0.05316,0.4625,-0.103737,-0.11494,370.02175
YIVCEL,-0.19573,-0.14316,0.05257,0.0098,-0.124233,-0.11286,406.286375
YOKZAC,-0.34756,-0.21887,0.12869,11.3177,-0.107283,0.70477,267.064265
YOPPOK,-0.15947,-0.08599,0.07348,0.0012,-0.267591,0.26725,735.170591
YOXHUP,-0.13818,-0.04913,0.08905,5.5657,-0.197616,0.40098,526.374692
YOYMUV,-0.1357,-0.0594,0.0763,0.0189,-0.104995,0.30013,322.769587
YOYNAC,-0.11422,-0.06384,0.05038,0.2106,-0.099899,0.71083,332.092097
YOYNIK,-0.09908,-0.04178,0.0573,0.842,-0.111692,0.27602,324.428552
YUFYUV,-0.23397,-0.11662,0.11735,0.0115,-0.18474,0.14241,628.385139
YUJZAF,-0.11867,-0.05036,0.06831,8.7759,-0.101454,0.24379,263.142001
YUJZEJ,-0.17252,-0.11106,0.06146,10.3329,-0.115308,0.76295,296.585941
YUYHOR,-0.18155,-0.07795,0.1036,12.8024,-0.091308,0.31289,265.538341
YUYJAF,-0.14897,-0.0861,0.06287,10.1738,-0.07208,0.09489,233.496696
YUYJEJ,-0.1628,-0.09893,0.06387,14.1996,-0.088133,0.64948,282.910428
ZAGXEN,-0.15125,-0.06849,0.08276,13.3734,-0.125457,0.50644,337.267991
ZAHHOI,-0.14975,-0.07461,0.07514,15.1669,-0.117692,0.42891,325.747424
ZANVIW,-0.14481,-0.08871,0.0561,11.6435,-0.106639,0.60692,342.949758
ZEFCOE,-0.16757,-0.12957,0.038,0.0049,-0.153011,-0.07715,556.764766
ZEFCUK,-0.1704,-0.13227,0.03813,0.004,-0.133807,-0.07099,463.265591
ZEGDIY,-0.32785,-0.18215,0.1457,2.3472,-0.12254,-0.47293,291.910728
ZEGJUQ,-0.28901,-0.19707,0.09194,1.0496,-0.14899,-0.05742,336.085765
ZEHQOU,-0.19998,-0.17293,0.02705,2.2545,-0.42748,0.88372,1057.831311
ZEJHUT,-0.14147,-0.08477,0.0567,2.3841,-0.134891,0.79679,395.612209
ZELCUQ,-0.15622,-0.07405,0.08217,3.8954,-0.12536,-0.27443,316.508907
ZELDAX,-0.16091,-0.08218,0.07873,3.8982,-0.129083,-0.31968,329.284501
ZELDEB,-0.17715,-0.0539,0.12325,1.8141,-0.131104,-0.88599,342.369661
ZERDIM,-0.13943,-0.08474,0.05469,0.0151,-0.187526,0.3243,570.396866
ZERDOS,-0.16587,-0.08995,0.07592,0.0425,-0.186378,0.31545,559.785511
ZIDWOY,-0.18338,-0.1352,0.04818,0.0045,-0.147033,-0.02485,407.907003
ZIFFEB,-0.18295,-0.07624,0.10671,0.0005,-0.214461,0.26261,575.834751
ZIFFIF,-0.15268,-0.07105,0.08163,0.0092,-0.224018,0.26555,586.373471
ZIFFOL,-0.15498,-0.06977,0.08521,0.0271,-0.221698,0.28066,574.961043
ZIMKOX,-0.15639,-0.0872,0.06919,0.0035,-0.147289,0.42046,466.709145
ZINYIE,-0.15805,-0.04548,0.11257,3.6436,-0.117464,-0.19775,344.509074
ZIZTAF,-0.15226,-0.10538,0.04688,0.0901,-0.198062,0.66379,653.910525
ZORGUL,-0.17981,-0.08788,0.09193,0.0021,-0.120664,0.22995,343.9824
ZORHEW,-0.15877,-0.04989,0.10888,0.0005,-0.159852,0.21172,485.986699
ZORHIA,-0.16484,-0.0859,0.07894,0.0006,-0.152002,0.24117,468.169194
ZORHOG,-0.15691,-0.06263,0.09428,0.0009,-0.171446,0.24275,540.042197
ZORHUM,-0.18059,-0.09073,0.08986,5.943,-0.120734,0.22699,344.015904
ZORJAU,-0.20517,-0.10353,0.10164,0.0007,-0.129383,0.22873,372.250404
ZOTRIJ,-0.14683,-0.11108,0.03575,0.003,-0.166226,0.17438,451.186584
ZOVSUA,-0.17432,-0.09032,0.084,1.2246,-0.138197,-0.23394,349.949706
ZOVTOV,-0.15307,-0.02151,0.13156,3.1853,-0.138416,-0.98609,347.248329
ZOVVAJ,-0.16131,-0.02848,0.13283,1.137,-0.12728,-0.10623,337.923721
ZOVVEN,-0.29728,-0.19387,0.10341,1.1335,-0.126831,-0.21588,331.918263
ZOYKUV,-0.13331,-0.09368,0.03963,0.0099,-0.256572,0.34888,796.856633
ZUQNAC,-0.15468,-0.14752,0.00716,5.6473,-0.248534,0.87067,691.563324
